Model,Mean R2,STD R2,Mean MAE,STD MAE,Mean RMSE,STD RMSE
Random Forest,0.9347270333644995,0.04973200429630392,-0.049663152488116376,0.007911904191421093,-0.07161770300084526,0.024032736533416536
Gradient Boosting,0.9541724901034065,0.026853700439931655,-0.04367563408477325,0.00795719882121769,-0.061784485143934954,0.020592398423675582
XGBoost,0.9370139864812671,0.06710847693353847,-0.04662215824741731,0.010428019997162528,-0.06674869924459434,0.0228812212209278
